type,amount,oldbalanceOrg,newbalanceOrig
1,0.0091959981159151,0.0001717545198669,0.0
4,0.0955911790130144,0.0505013602628192,0.0
3,0.0006148816705232,0.0001239843080431,0.0
1,0.0026252251212128,0.0008901563155893,0.0
4,0.0072414951827962,0.0038257228422517,0.0
1,0.0065163562783373,0.0034426278597149,0.0
4,0.0132083099403224,0.0069780248098873,0.0
4,0.0300247643535384,0.0,0.0
3,2.572086395086866e-05,0.0052887311654598,0.0063390003850873
0,9.009148191814386e-06,0.1006366756280507,0.1209381685535169
1,0.0074671187525846,0.0,0.0
1,0.0048880057937158,0.0025823610933973,0.0
1,0.014542631180759,0.0076829542643137,0.0
1,0.0001183101925626,6.250394355485104e-05,0.0
1,0.019280088898386,0.0101857799580441,0.0
4,0.0326669457971432,0.0172581321354234,0.0
1,0.0118283057109974,0.0062489607741789,0.0
0,0.0071884898784699,0.0040780344947511,0.0094640870814723
1,0.0035276971633998,0.0032156181956112,0.0016245617508609
1,0.0003328759541913,1.3224795940504958e-05,0.0
1,0.000449461193486,0.0002374528893853,0.0
3,0.000360718542429,1.9467973719525063e-05,0.0
4,0.0050471274911216,0.0026664259856739,0.0
3,0.0001148015169005,0.0,0.0
3,0.0001133805747333,0.001439799981124,0.0016581898368231
1,0.0240604350535387,0.0127112638557737,0.0
3,0.0002723065868328,0.0052532145326462,0.0061397757817334
1,0.0040209327786959,0.0,0.0
4,0.1277884626031785,0.0675113671992297,0.0
4,0.0295969181269518,0.0156362191619674,0.0
4,0.0014029619913374,0.000741192751163,0.0
4,0.0635570054790554,0.0335775252911857,0.0
0,0.0071614913419511,0.0003490137771303,0.0049658808011977
1,0.0021592107297727,1.6564560397561413e-05,0.0
1,0.0008879303366993,0.000469098616472,0.0
1,0.0091241104502164,0.0012097667393088,0.0
4,0.0039429817275411,0.0020830995368846,0.0
1,0.0108629621400645,0.0057389643084335,0.0
3,0.0001411936195724,8.643109022030526e-06,0.0
1,0.0086723328001502,0.0045816424442241,0.0
1,0.0188256739440783,0.0099457099688124,0.0
4,0.3169644849152451,0.1674541292250869,0.0
1,0.0529028452788708,0.0279488722279773,0.0
1,0.0223602909338203,0.011813068106175,0.0
1,0.0220112690358349,0.0116286778644,0.0
4,0.0309343642965408,0.0001041855465977,0.0
1,0.0046674922788574,0.0,0.0
3,0.0001241385015145,0.0034167972151363,0.0040270659963163
1,0.0050569152508162,0.0003552066067015,0.0
1,0.0257777019552278,0.0136185056678849,0.0
1,0.0005791008028721,0.0005546694236468,0.0002988889368529
1,0.0105071802042258,0.005551002700445,0.0
4,0.0047728488030203,0.0025215230042144,0.0
1,0.011303754728619,0.0059718375248287,0.0
4,0.3176709517565015,0.1849256263246197,0.0205465378750885
4,0.0017829456886357,0.0009419402865464,0.0
0,0.006000674351261,0.0011750600413329,0.0052215730403367
4,0.0037900069630518,0.0020022821040173,0.0
0,0.0014250353574202,0.3187081333179937,0.3838878764232415
1,0.0032759635827446,0.0017307100802422,0.0
1,0.0097648635607217,0.0,0.0
1,0.0732529957537397,0.0386999717660844,0.0
4,0.0146758153626248,0.0036754191763586,0.0
1,0.0103342989072157,3.188719833370485e-06,0.0
3,0.0004476485630352,0.000169774157023,0.0
3,0.0004426795540079,0.0002572625596091,2.8110091059708056e-05
1,8.845579418754963e-05,4.6731696122202366e-05,0.0
4,0.0012861305570551,0.0006794700439673,0.0
